itm_no_item|INVALID ITEM
itm_no_item_pl|INVALID ITEM
itm_tutorial_spear|Копьё
itm_tutorial_spear_pl|Копьё
itm_tutorial_club|Дубинка
itm_tutorial_club_pl|Дубинка
itm_tutorial_battle_axe|Боевой топор
itm_tutorial_battle_axe_pl|Боевой топор
itm_tutorial_arrows|Стрелы
itm_tutorial_arrows_pl|Стрелы
itm_tutorial_bolts|Болты
itm_tutorial_bolts_pl|Болты
itm_tutorial_short_bow|Короткий лук
itm_tutorial_short_bow_pl|Короткий лук
itm_tutorial_crossbow|Арбалет
itm_tutorial_crossbow_pl|Арбалет
itm_tutorial_throwing_daggers|Метательные кинжалы
itm_tutorial_throwing_daggers_pl|Метательные кинжалы
itm_tutorial_saddle_horse|Верховой конь
itm_tutorial_saddle_horse_pl|Верховой конь
itm_tutorial_shield|Каплевидный щит
itm_tutorial_shield_pl|Каплевидный щит
itm_tutorial_staff_no_attack|Шест
itm_tutorial_staff_no_attack_pl|Шест
itm_tutorial_staff|Посох
itm_tutorial_staff_pl|Посох
itm_tutorial_sword|Меч
itm_tutorial_sword_pl|Меч
itm_tutorial_axe|Топор
itm_tutorial_axe_pl|Топор
itm_tutorial_dagger|Кинжал
itm_tutorial_dagger_pl|Кинжал
itm_horse_meat|Конина
itm_horse_meat_pl|Конина
itm_practice_sword|Тренировочный меч
itm_practice_sword_pl|Тренировочный меч
itm_heavy_practice_sword|Тяжёлый тренировочный меч
itm_heavy_practice_sword_pl|Тяжёлый тренировочный меч
itm_practice_dagger|Тренировочный кинжал
itm_practice_dagger_pl|Тренировочный кинжал
itm_practice_axe|Тренировочный топор
itm_practice_axe_pl|Тренировочный топор
itm_arena_axe|Топор
itm_arena_axe_pl|Топор
itm_arena_sword|Меч
itm_arena_sword_pl|Меч
itm_arena_sword_two_handed|Двуручный меч
itm_arena_sword_two_handed_pl|Двуручный меч
itm_arena_lance|Кавалерийское копьё
itm_arena_lance_pl|Кавалерийское копьё
itm_practice_staff|Тренировочный шест
itm_practice_staff_pl|Тренировочный шест
itm_practice_lance|Тренировочное кавалерийское копьё
itm_practice_lance_pl|Тренировочное кавалерийское копьё
itm_practice_shield|Тренировочный щит
itm_practice_shield_pl|Тренировочный щит
itm_practice_bow|Тренировочный лук
itm_practice_bow_pl|Тренировочный лук
itm_practice_crossbow|Тренировочный арбалет
itm_practice_crossbow_pl|Тренировочный арбалет
itm_practice_javelin|Тренировочные дротики
itm_practice_javelin_pl|Тренировочные дротики
itm_practice_javelin_melee|Тренировочный дротик (для ближнего боя)
itm_practice_javelin_melee_pl|Тренировочный дротик (для ближнего боя)
itm_practice_throwing_daggers|Метательные кинжалы
itm_practice_throwing_daggers_pl|Метательные кинжалы
itm_practice_throwing_daggers_100_amount|Метательные кинжалы
itm_practice_throwing_daggers_100_amount_pl|Метательные кинжалы
itm_practice_horse|Тренировочный конь
itm_practice_horse_pl|Тренировочный конь
itm_practice_arrows|Тренировочные стрелы
itm_practice_arrows_pl|Тренировочные стрелы
itm_practice_bolts|Тренировочные болты
itm_practice_bolts_pl|Тренировочные болты
itm_practice_arrows_10_amount|Тренировочные стрелы
itm_practice_arrows_10_amount_pl|Тренировочные стрелы
itm_practice_arrows_100_amount|Тренировочные стрелы
itm_practice_arrows_100_amount_pl|Тренировочные стрелы
itm_practice_bolts_9_amount|Тренировочные болты
itm_practice_bolts_9_amount_pl|Тренировочные болты
itm_practice_boots|Тренировочные сапоги
itm_practice_boots_pl|Тренировочные сапоги
itm_red_tourney_armor|Красная турнирная броня
itm_red_tourney_armor_pl|Красная турнирная броня
itm_blue_tourney_armor|Голубая турнирная броня
itm_blue_tourney_armor_pl|Голубая турнирная броня
itm_green_tourney_armor|Зелёная турнирная броня
itm_green_tourney_armor_pl|Зелёная турнирная броня
itm_gold_tourney_armor|Золотая турнирная броня
itm_gold_tourney_armor_pl|Золотая турнирная броня
itm_red_tourney_helmet|Красный турнирный шлем
itm_red_tourney_helmet_pl|Красный турнирный шлем
itm_blue_tourney_helmet|Голубой турнирный шлем
itm_blue_tourney_helmet_pl|Голубой турнирный шлем
itm_green_tourney_helmet|Зелёный турнирный шлем
itm_green_tourney_helmet_pl|Зелёный турнирный шлем
itm_gold_tourney_helmet|Золотой турнирный шлем
itm_gold_tourney_helmet_pl|Золотой турнирный шлем
itm_arena_shield_red|Красный щит
itm_arena_shield_red_pl|Красный щит
itm_arena_shield_blue|Синий щит
itm_arena_shield_blue_pl|Синий щит
itm_arena_shield_green|Зелёный щит
itm_arena_shield_green_pl|Зелёный щит
itm_arena_shield_yellow|Жёлтый щит
itm_arena_shield_yellow_pl|Жёлтый щит
itm_arena_armor_white|Белая броня арены
itm_arena_armor_white_pl|Белая броня арены
itm_arena_armor_red|Красная броня арены
